,Holding Period Returns,,,,,,,
DATE,MSFT,XOM,GE,JPM,INTC,C,VWRETD,SPRTRN
24.07.90,-0.03472,0.044386,0.005172,0.005263,-0.02528,-0.01908,0.000485,0.001351
25.07.90,0.028777,-0.0075,0.005146,0.010471,0.002882,0.023346,0.003915,0.003654
26.07.90,-0.03846,-0.01511,-0.00341,-0.01036,0.005747,0.019011,-0.00219,-0.0033
27.07.90,0.003636,0.007673,-0.0137,-0.01571,-0.00571,-0.04851,-0.00622,-0.00694
30.07.90,-0.01449,0.030457,0.006944,-0.00532,-0.00287,-0.00784,0.002877,0.00597
31.07.90,-0.02206,0.022167,-0.01207,-0.01604,0.025937,0.022925,0.001626,0.001688
01.08.90,0.003759,0.004819,0.005236,-0.04348,-0.04494,0,-0.00143,-0.00177
02.08.90,-0.01124,0.021583,-0.0191,-0.03409,-0.05294,-0.0155,-0.01101,-0.01136
03.08.90,-0.04167,-0.00235,-0.01239,-0.02353,-0.02485,-0.01969,-0.01781,-0.01884
06.08.90,-0.04348,0.021176,-0.05376,0.03012,-0.05096,-0.04016,-0.03155,-0.03024
07.08.90,0.012397,-0.00507,0.018939,0.052632,0.016779,0.004184,0.002032,0.001196
08.08.90,0.036735,-0.03045,0.009294,0.044444,-0.0198,0,0.010735,0.010513
09.08.90,0.025591,0.002415,0.001842,0.010638,0.057239,0.0375,0.005941,0.004699
10.08.90,-0.0096,-0.00482,-0.02022,-0.00526,-0.02548,-0.02811,-0.01089,-0.013
13.08.90,0.007752,0.014528,0.013133,0.015873,0,-0.00413,0.006975,0.009895
14.08.90,-0.01154,-0.00239,-0.00741,0.005208,-0.03268,0,0.002558,0.001623
15.08.90,0,-0.00479,-0.01119,-0.02073,0,0,0.002844,0.001974
16.08.90,-0.03891,-0.00481,-0.02076,-0.02116,-0.02703,-0.0166,-0.02033,-0.02256
17.08.90,-0.02429,0.007246,-0.01349,0,-0.04861,-0.01688,-0.01445,-0.01372
20.08.90,-0.07884,0.01199,-0.00391,-0.01622,-0.0292,0.008584,-0.00083,0.002074
21.08.90,-0.02252,-0.01659,-0.02941,-0.01099,-0.03008,-0.02128,-0.01904,-0.02024
22.08.90,-0.00922,-0.00964,-0.02626,-0.00556,-0.00388,-0.06087,-0.01479,-0.0165
23.08.90,-0.03721,-0.03406,-0.02905,-0.02793,0.035019,-0.00926,-0.03144,-0.02998
24.08.90,0.10628,-0.01511,0.049145,-0.01724,0.082707,0.065421,0.013849,0.014492
27.08.90,0.061135,0.015345,0.034623,0.011696,0.006944,0,0.03053,0.031877
28.08.90,0.034979,0.010076,-0.00984,-0.01734,-0.01724,-0.02193,0.000966,-0.00031
29.08.90,-0.03777,-0.00499,-0.00398,-0.00588,-0.01754,-0.00448,0.007242,0.008869
30.08.90,-0.00826,-0.02005,-0.01198,0,-0.05357,-0.01351,-0.01314,-0.0169
31.08.90,0.025,0.023018,0.00202,0.023669,0.007547,0.018265,0.009347,0.01208
04.09.90,0.012195,0.0025,-0.0121,0.017341,0.003745,-0.00448,0.000922,0.001643
05.09.90,-0.05221,0.014963,-0.01633,0.022727,-0.02985,0,0.003995,0.004024
06.09.90,-0.02542,-0.00983,-0.00415,-0.01111,-0.03846,-0.00901,-0.0097,-0.01212
07.09.90,0.004348,0.009926,0.010417,0.02809,0.016,0.009091,0.007489,0.009174
10.09.90,-0.03463,-0.00983,0.008247,-0.01399,0.023622,0,-0.00317,-0.00547
11.09.90,-0.00448,0.009926,0.018405,-0.01714,-0.01539,0.004505,-0.00158,-0.00183
12.09.90,0.033784,0.009828,-0.00402,-0.00581,0.023438,0,0.003114,0.004672
13.09.90,0.002179,-0.01217,-0.02621,-0.02339,-0.01527,-0.04484,-0.01023,-0.01206
14.09.90,0.03913,0.012315,-0.01449,-0.02994,0.011628,-0.02347,-0.00562,-0.00571
17.09.90,0.016736,0.004866,-0.0084,-0.03704,0.007663,-0.00962,0.002191,0.002967
18.09.90,0.016461,-0.00726,-0.00636,0,0.019011,-0.10194,0.001077,0.002612
19.09.90,0.004049,0,-0.04264,-0.04487,0.011194,-0.08108,-0.005,-0.00628
20.09.90,-0.03629,-0.00244,-0.00944,-0.04698,-0.02583,-0.02941,-0.01524,-0.01617
21.09.90,0.012552,0.002445,0.013605,-0.04225,-0.00379,0.006061,-0.00175,-0.00051
24.09.90,-0.03306,-0.01463,-0.02461,-0.11029,-0.02662,-0.03012,-0.02055,-0.02162
25.09.90,0.032051,0,0.020642,0.041322,0.054688,0.062112,0.009761,0.012049
26.09.90,-0.00207,-0.01238,-0.01124,-0.04762,-0.02963,-0.00585,-0.01029,-0.01038
27.09.90,-0.0166,-0.00501,-0.06136,-0.05833,-0.0229,-0.02353,-0.01432,-0.01341
28.09.90,0.063291,-0.01259,0.05569,0.097345,0.039063,-0.01205,0.014281,0.016879
01.10.90,0.065476,0.012755,0.03211,0,0.022556,-0.03659,0.026022,0.029048
02.10.90,-0.01862,-0.00252,-0.00889,0,0.014706,-0.06329,0.002635,0.000857
03.10.90,-0.0019,0.002525,-0.02242,-0.04839,-0.03623,0.027027,-0.01034,-0.01209
04.10.90,-0.02472,0.015113,-0.00229,0.025424,-0.03008,0.019737,0.001654,0.004143
05.10.90,0.009747,-0.00993,-0.0023,0.041322,0.01938,-0.01936,-0.00425,-0.00381
08.10.90,0.019305,0.010025,0.004608,-0.00794,-0.0038,-0.02632,0.005437,0.006356
09.10.90,-0.04546,-0.01241,-0.02982,-0.016,-0.07634,-0.02703,-0.02418,-0.02673
10.10.90,-0.05556,-0.0201,-0.01655,-0.02439,-0.01653,0.013889,-0.0151,-0.01544
11.10.90,-0.02521,-0.01282,-0.01442,-0.11667,-0.02101,0.006849,-0.01723,-0.01641
12.10.90,-0.01724,0.007792,0.034146,-0.04717,0.030043,0.047619,0.012247,0.015467
15.10.90,-0.00877,0.015464,0.025943,0.019802,0.045833,-0.00649,0.008452,0.010666
16.10.90,-0.03319,-0.01269,-0.05287,0,-0.01195,-0.02614,-0.01314,-0.01421
17.10.90,0.034325,-0.00257,0.021845,-0.02913,0.032258,0.033557,0.000051,-0.00054
18.10.90,0.081858,0,0.035629,0,0.0625,0.090909,0.021595,0.023363
19.10.90,0.014315,0.028351,0.018349,0.02,0.022059,-0.02976,0.017335,0.022045
22.10.90,0.032258,-0.00501,-0.03153,0,0.014388,0.03681,0.00785,0.007296
23.10.90,0.003906,-0.02267,0.004651,-0.0098,0.007092,0,-0.0044,-0.00763
24.10.90,0.01751,0,-0.03935,-0.0297,-0.01409,0,0.000212,0.000768
25.10.90,-0.00956,-0.01546,-0.01205,0,-0.025,-0.00592,-0.00562,-0.00777
26.10.90,-0.02124,-0.01047,-0.01463,-0.08163,-0.02564,-0.09524,-0.01596,-0.0176
29.10.90,-0.01381,0.007937,0.007426,-0.05556,-0.02632,-0.01974,-0.00894,-0.00929
30.10.90,0.022,0.026247,0.036855,0.023529,0.027027,-0.00805,0.004255,0.007221
31.10.90,-0.00196,0.002558,-0.01422,-0.06897,0.007519,-0.01361,0.000644,-0.0002
01.11.90,-0.00392,0.015306,0.007212,0.074074,0,-0.0069,0.008038,0.009934
02.11.90,0.023622,-0.00251,0.011933,0.068966,0.044776,0.083333,0.014964,0.015732
05.11.90,0.009615,0.000907,0.016509,-0.01075,0.035714,0.012821,0.009564,0.008786
06.11.90,-0.02095,0.005102,-0.00928,-0.03261,-0.00345,-0.03165,-0.00653,-0.00944
07.11.90,-0.00778,-0.02031,-0.02576,-0.03371,-0.04498,-0.01961,-0.01516,-0.018
08.11.90,-0.00392,0.020725,-0.00481,0.046512,0.021739,-0.00667,0.00405,0.005229
09.11.90,0.019685,0.022843,0.038647,-0.01111,0.021277,0.033557,0.017564,0.019928
12.11.90,0.063707,-0.00248,0.030233,0.078652,0.034722,0.064935,0.018471,0.018295
13.11.90,-0.00363,-0.00498,0.002257,-0.02083,0.016779,0.030488,-0.00292,-0.00567
14.11.90,0.01275,0.005,-0.00451,0.053191,0,0.023669,0.007986,0.008594
15.11.90,-0.02338,-0.00498,-0.00453,-0.0303,-0.0297,-0.00578,-0.00851,-0.01055
16.11.90,0.001842,0.0075,0.006818,0.020833,0.006803,0.005814,-0.00019,0.000315
19.11.90,0.022059,0.004963,0,0.020408,0.006757,0.00578,0.00566,0.007001
20.11.90,-0.01799,0,-0.03838,-0.06,-0.01342,0,-0.01021,-0.01262
21.11.90,0.007326,0.002469,0.00939,-0.01064,-0.01361,-0.02299,0.001002,0.002283
23.11.90,0,0.007389,-0.00233,-0.02151,-0.02069,0.005882,-0.00195,-0.00294
26.11.90,0.021818,-0.00245,-0.00466,0.032967,0.014085,0,0.003073,0.004475
27.11.90,0.023132,-0.01226,0.002342,0,0.03125,0.02924,0.00674,0.005024
28.11.90,-0.02087,0,-0.01636,-0.03192,0.016835,0.005682,0.000746,-0.00047
29.11.90,0.012433,-0.00248,0.009501,-0.03297,0,0.011299,-0.0035,-0.00481
30.11.90,0.014035,0.007463,0.030588,0.034091,-0.00662,0.011173,0.015779,0.01833
03.12.90,0.022491,0.002469,0.002466,0.054945,0.006667,0.016575,0.006589,0.005835
04.12.90,0.00846,-0.00739,0.02069,0.041667,0.013245,0.032609,0.007183,0.006942
05.12.90,0.010067,-0.00248,0.027027,0.08,0,0.052632,0.011524,0.010939
06.12.90,-0.00665,-0.01244,0.008772,-0.01852,0.003268,-0.005,-0.00145,-0.00258
07.12.90,-0.00669,-0.00756,0,0,-0.01629,-0.0201,-0.00324,-0.00401
10.12.90,-0.00337,0.007614,-0.0087,-0.00943,0,-0.02564,0.002372,0.003478
11.12.90,-0.02534,0.002519,-0.00439,-0.01942,-0.05298,-0.00526,-0.00568,-0.00745
12.12.90,0.005199,0.012563,0.004405,0.009901,0.027972,0.005291,0.009204,0.011488
13.12.90,0.003448,0.002481,-0.01097,-0.02941,-0.01361,-0.01053,-0.00065,-0.00257
14.12.90,0.012027,0.00495,-0.0133,-0.0404,-0.0069,-0.03192,-0.00735,-0.00765
17.12.90,0.005093,0.004926,-0.00449,-0.07368,-0.00694,-0.03297,-0.00377,-0.00245
18.12.90,0.016892,0,0.027088,0.056818,0.041958,0.056818,0.011516,0.012361
19.12.90,-0.00498,-0.0098,-0.0044,0.010753,0.013423,0.016129,0.001052,0.000454
